Claim_ID,Customer_ID,Vehicle_ID,Claim_Amount,Claim_Date,Claim_Type
CLM0000001,C0016403,V0016403,10000.0,2025-01-06,1
CLM0000002,C0016404,V0016404,10000.0,2025-01-06,1
CLM0000003,C0016405,V0016405,10000.0,2025-01-06,1
CLM0000004,C0016409,V0016409,10000.0,2025-01-06,1
CLM0000005,C0016412,V0016412,10000.0,2025-01-06,1
CLM0000006,C0016413,V0016413,10000.0,2025-01-06,1
CLM0000007,C0016414,V0016414,10000.0,2025-01-06,1
CLM0000008,C0016418,V0016418,10000.0,2025-01-06,1
CLM0000009,C0016420,V0016420,10000.0,2025-01-06,1
CLM0000010,C0016421,V0016421,10000.0,2025-01-06,1
CLM0000011,C0016425,V0016425,10000.0,2025-01-06,1
CLM0000012,C0016428,V0016428,10000.0,2025-01-06,1
CLM0000013,C0016430,V0016430,10000.0,2025-01-06,1
CLM0000014,C0016431,V0016431,10000.0,2025-01-06,1
CLM0000015,C0016436,V0016436,10000.0,2025-01-06,1
CLM0000016,C0016439,V0016439,10000.0,2025-01-06,1
CLM0000017,C0016441,V0016441,10000.0,2025-01-06,1
CLM0000018,C0016443,V0016443,10000.0,2025-01-06,1
CLM0000019,C0016448,V0016448,10000.0,2025-01-06,1
CLM0000020,C0016455,V0016455,10000.0,2025-01-06,1
CLM0000021,C0016456,V0016456,10000.0,2025-01-06,1
CLM0000022,C0016457,V0016457,10000.0,2025-01-06,1
CLM0000023,C0016460,V0016460,10000.0,2025-01-06,1
CLM0000024,C0016463,V0016463,10000.0,2025-01-06,1
CLM0000025,C0016465,V0016465,10000.0,2025-01-06,1
CLM0000026,C0016467,V0016467,10000.0,2025-01-06,1
CLM0000027,C0016470,V0016470,10000.0,2025-01-06,1
CLM0000028,C0016471,V0016471,10000.0,2025-01-06,1
CLM0000029,C0016476,V0016476,10000.0,2025-01-06,1
CLM0000030,C0016478,V0016478,10000.0,2025-01-06,1
CLM0000031,C0016482,V0016482,10000.0,2025-01-06,1
CLM0000032,C0016489,V0016489,10000.0,2025-01-06,1
CLM0000033,C0016497,V0016497,10000.0,2025-01-06,1
CLM0000034,C0016498,V0016498,10000.0,2025-01-06,1
CLM0000035,C0016499,V0016499,10000.0,2025-01-06,1
CLM0000036,C0016504,V0016504,10000.0,2025-01-06,1
CLM0000037,C0016507,V0016507,10000.0,2025-01-06,1
CLM0000038,C0016508,V0016508,10000.0,2025-01-06,1
CLM0000039,C0016509,V0016509,10000.0,2025-01-06,1
CLM0000040,C0016510,V0016510,10000.0,2025-01-06,1
CLM0000041,C0016516,V0016516,10000.0,2025-01-06,1
CLM0000042,C0016522,V0016522,10000.0,2025-01-06,1
CLM0000043,C0016523,V0016523,10000.0,2025-01-06,1
CLM0000044,C0016527,V0016527,10000.0,2025-01-06,1
CLM0000045,C0016530,V0016530,10000.0,2025-01-06,1
CLM0000046,C0016531,V0016531,10000.0,2025-01-06,1
CLM0000047,C0016540,V0016540,10000.0,2025-01-06,1
CLM0000048,C0016543,V0016543,10000.0,2025-01-06,1
CLM0000049,C0016544,V0016544,10000.0,2025-01-06,1
CLM0000050,C0016547,V0016547,10000.0,2025-01-06,1
CLM0000051,C0016548,V0016548,10000.0,2025-01-06,1
CLM0000052,C0016550,V0016550,10000.0,2025-01-06,1
CLM0000053,C0016551,V0016551,10000.0,2025-01-06,1
CLM0000054,C0016554,V0016554,10000.0,2025-01-06,1
CLM0000055,C0016557,V0016557,10000.0,2025-01-06,1
CLM0000056,C0016563,V0016563,10000.0,2025-01-06,1
CLM0000057,C0016566,V0016566,10000.0,2025-01-06,1
CLM0000058,C0016567,V0016567,10000.0,2025-01-06,1
CLM0000059,C0016570,V0016570,10000.0,2025-01-06,1
CLM0000060,C0016572,V0016572,10000.0,2025-01-06,1
CLM0000061,C0016574,V0016574,10000.0,2025-01-06,1
CLM0000062,C0016578,V0016578,10000.0,2025-01-06,1
CLM0000063,C0016580,V0016580,10000.0,2025-01-06,1
CLM0000064,C0016583,V0016583,10000.0,2025-01-06,1
CLM0000065,C0016588,V0016588,10000.0,2025-01-06,1
CLM0000066,C0016589,V0016589,10000.0,2025-01-06,1
CLM0000067,C0016600,V0016600,10000.0,2025-01-06,1
CLM0000068,C0016601,V0016601,10000.0,2025-01-06,1
CLM0000069,C0016604,V0016604,10000.0,2025-01-06,1
CLM0000070,C0016605,V0016605,10000.0,2025-01-06,1
CLM0000071,C0016607,V0016607,10000.0,2025-01-06,1
CLM0000072,C0016608,V0016608,10000.0,2025-01-06,1
CLM0000073,C0016612,V0016612,10000.0,2025-01-06,1
CLM0000074,C0016614,V0016614,10000.0,2025-01-06,1
CLM0000075,C0016621,V0016621,10000.0,2025-01-06,1
CLM0000076,C0016623,V0016623,10000.0,2025-01-06,1
CLM0000077,C0016624,V0016624,10000.0,2025-01-06,1
CLM0000078,C0016633,V0016633,10000.0,2025-01-06,1
CLM0000079,C0016635,V0016635,10000.0,2025-01-06,1
CLM0000080,C0016636,V0016636,10000.0,2025-01-06,1
CLM0000081,C0016638,V0016638,10000.0,2025-01-06,1
CLM0000082,C0016643,V0016643,10000.0,2025-01-06,1
CLM0000083,C0016649,V0016649,10000.0,2025-01-06,1
CLM0000084,C0016653,V0016653,10000.0,2025-01-06,1
CLM0000085,C0016658,V0016658,10000.0,2025-01-06,1
CLM0000086,C0016661,V0016661,10000.0,2025-01-06,1
CLM0000087,C0016668,V0016668,10000.0,2025-01-06,1
CLM0000088,C0016682,V0016682,10000.0,2025-01-06,1
CLM0000089,C0016684,V0016684,10000.0,2025-01-06,1
CLM0000090,C0016687,V0016687,10000.0,2025-01-06,1
CLM0000091,C0016689,V0016689,10000.0,2025-01-06,1
CLM0000092,C0016690,V0016690,10000.0,2025-01-06,1
